disciplina;professor;curso;inicio;fim;sala
Estatística;Jessica Almeida;Engenharia Sanitária e Ambiental;18:30;19:20;SALA 07
Estatística;Jessica Almeida;Engenharia Sanitária e Ambiental;19:20;20:10;SALA 07
Estatística;Jessica Almeida;Engenharia Sanitária e Ambiental;20:10;21:00;SALA 07
Estatística;Jessica Almeida;Engenharia Sanitária e Ambiental;21:00;21:50;SALA 07
Estatística;Jessica Almeida;Engenharia Sanitária e Ambiental;21:50;22:40;SALA 07
Educação Ambiental;Cristiane Crispim;Engenharia Sanitária e Ambiental;18:30;19:20;SALA 11
Educação Ambiental;Cristiane Crispim;Engenharia Sanitária e Ambiental;19:20;20:10;SALA 11
Educação Ambiental;Cristiane Crispim;Engenharia Sanitária e Ambiental;20:10;21:00;SALA 11
Educação Ambiental;Cristiane Crispim;Engenharia Sanitária e Ambiental;21:00;21:50;SALA 11
Hidráulica I;Fabrício Ribeiro;Engenharia Sanitária e Ambiental;18:30;19:20;SALA 06
Hidráulica I;Fabrício Ribeiro;Engenharia Sanitária e Ambiental;19:20;20:10;SALA 06
Hidráulica I;Fabrício Ribeiro;Engenharia Sanitária e Ambiental;20:10;21:00;SALA 06
Hidráulica I;Fabrício Ribeiro;Engenharia Sanitária e Ambiental;21:00;21:50;SALA 06
Hidráulica I;Fabrício Ribeiro;Engenharia Sanitária e Ambiental;21:50;22:40;SALA 06
Introdução a Biossistemas;Yusdel Diaz/ Emanuel Brasilino/ Marcos Vanderlei;PPGMSB;13:00;14:20;SALA 9
Introdução a Biossistemas;Yusdel Diaz/ Emanuel Brasilino/ Marcos Vanderlei;PPGMSB;14:20;15:10;SALA 9
Introdução a Biossistemas;Yusdel Diaz/ Emanuel Brasilino/ Marcos Vanderlei;PPGMSB;15:10;16:00;SALA 9
Introdução a Biossistemas;Yusdel Diaz/ Emanuel Brasilino/ Marcos Vanderlei;PPGMSB;16:00;16:50;SALA 9
Introdução a Biossistemas;Yusdel Diaz/ Emanuel Brasilino/ Marcos Vanderlei;PPGMSB;16:50;17:00;SALA 9
Métodos Computacionais Aplicados;Alexandre Nascimento/ José Gileá de Souza / Larissa Bastos;PPGMSB;13:00;14:20;SALA 9
Métodos Computacionais Aplicados;Alexandre Nascimento/ José Gileá de Souza / Larissa Bastos;PPGMSB;14:20;15:10;SALA 9
Métodos Computacionais Aplicados;Alexandre Nascimento/ José Gileá de Souza / Larissa Bastos;PPGMSB;15:10;16:00;SALA 9
Métodos Computacionais Aplicados;Alexandre Nascimento/ José Gileá de Souza / Larissa Bastos;PPGMSB;16:00;16:50;SALA 9
Métodos Computacionais Aplicados;Alexandre Nascimento/ José Gileá de Souza / Larissa Bastos;PPGMSB;16:50;17:00;SALA 9
